subset,x,y,n,pearson,spearman
all_200,ll_sexual_content,detox_sexual_explicit,200,0.3300340407366058,0.6839030975774394
all_200,ll_explicit_language,detox_obscene,200,0.7201339282329525,0.6546883672091802
all_200,ll_violence,detox_threat,200,0.10430478417276227,0.476062401560039
all_200,ll_violence,emotion_anger,200,0.38572893009062714,0.33344183604590116
all_200,ll_violence,emotion_disgust,200,0.2790949892771842,0.38414310357758946
all_200,detox_toxicity,emotion_anger,200,0.5615538958511866,0.6188869721743043
all_200,detox_toxicity,emotion_disgust,200,0.48976637100379333,0.5659806495162379
all_200,detox_insult,emotion_anger,200,0.652884258581982,0.6093767344183605
all_200,detox_insult,emotion_disgust,200,0.5231003166035482,0.55668791719793
all_200,sentiment_negative,emotion_sadness,200,0.25861984882057953,0.33785794644866124
stratified_core_180,ll_sexual_content,detox_sexual_explicit,180,0.3630906514920875,0.6476640225521364
stratified_core_180,ll_explicit_language,detox_obscene,180,0.7076204750101727,0.6168935255203349
stratified_core_180,ll_violence,detox_threat,180,0.10199397977102945,0.43661224111855307
stratified_core_180,ll_violence,emotion_anger,180,0.3784380900292241,0.3085980019959464
stratified_core_180,ll_violence,emotion_disgust,180,0.26577099123110703,0.3499223227054333
stratified_core_180,detox_toxicity,emotion_anger,180,0.5525712999682064,0.5887506816053993
stratified_core_180,detox_toxicity,emotion_disgust,180,0.4315134952629612,0.5271129767379652
stratified_core_180,detox_insult,emotion_anger,180,0.6717705791156412,0.5767461958702429
stratified_core_180,detox_insult,emotion_disgust,180,0.46929119085020465,0.5154973918948116
stratified_core_180,sentiment_negative,emotion_sadness,180,0.25511301158608674,0.346650616788584
